epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55461,2.87773,5.82112,4.30486,2.35917,0.01341,0.17143,0.0647,0.02544,0.01166,0.15102,0.02453,0.01144,1.90277,4.49595,4.18125,1.79184,5.454e-05,5.454e-05,5.454e-05
2,3.82641,2.30211,4.72349,4.12545,1.85614,0.02145,0.18857,0.11976,0.0913,0.02114,0.17714,0.07492,0.03171,1.54799,3.95002,4.07539,1.49923,0.00011583,0.00011583,0.00011583
3,5.08326,1.9865,4.14229,3.59508,1.49542,0.01473,0.18857,0.13529,0.12097,0.01521,0.20143,0.13566,0.08855,1.46594,3.93289,3.92531,1.33669,0.000174601,0.000174601,0.000174601
4,6.29153,1.84496,3.92644,3.05484,1.39679,0.01555,0.20571,0.14803,0.12225,0.01571,0.21143,0.14915,0.11797,1.67844,3.74097,3.81182,1.49624,0.000230851,0.000230851,0.000230851
5,7.54428,1.84306,3.79086,2.50685,1.41135,1,0.10854,0.34723,0.27355,1,0.10597,0.33677,0.2597,1.58389,3.41297,3.5008,1.43385,0.000284582,0.000284582,0.000284582
6,8.74828,1.7379,3.60908,2.05806,1.40009,1,0.08727,0.38521,0.29542,1,0.08727,0.38516,0.25848,1.85341,3.54089,3.20338,1.6809,0.000335794,0.000335794,0.000335794
7,9.98515,1.75202,3.57261,1.84753,1.37383,0.0507,0.78535,0.44319,0.3055,0.04106,0.65525,0.37506,0.23403,1.56224,3.47838,3.00227,1.36749,0.000384485,0.000384485,0.000384485
8,11.2141,1.65532,3.40777,1.70605,1.29737,0.77691,0.19855,0.44994,0.30288,1,0.15584,0.40884,0.25405,1.73881,3.30931,2.87705,1.42011,0.000430657,0.000430657,0.000430657
9,12.4077,1.59506,3.39568,1.63043,1.29247,0.82619,0.24526,0.50892,0.33845,0.81627,0.24237,0.48719,0.31007,1.66648,3.4294,2.52499,1.38518,0.000474309,0.000474309,0.000474309
10,13.6463,1.69395,3.56548,1.58932,1.31045,0.68237,0.33462,0.58229,0.42602,0.66405,0.29744,0.52062,0.33669,1.32595,2.99508,2.30886,1.17964,0.000515441,0.000515441,0.000515441
11,14.8658,1.63536,3.38069,1.50017,1.28854,0.63571,0.35038,0.60156,0.44618,0.6186,0.32236,0.53424,0.34512,1.35125,2.89161,2.20575,1.22236,0.000554054,0.000554054,0.000554054
12,16.1094,1.51819,3.26296,1.49281,1.25939,0.73464,0.49567,0.67323,0.47915,0.70419,0.46165,0.62023,0.37849,1.3885,2.83862,1.96894,1.20181,0.000590146,0.000590146,0.000590146
